,Scott,Melfort,Saskatoon,Year_2016,Year_2017,NAM_23,NAM_30,Week3,Week6,Week9
D2000120,1,0,0,0,1,1,0,0,1,0
D2000121,0,0,1,0,1,1,0,1,0,0
D2000122,0,1,0,0,1,1,0,0,1,0
D2000123,0,0,1,0,1,0,1,0,1,0
D2000124,0,1,0,0,1,1,0,1,0,0
D2000125,0,1,0,0,1,0,1,0,0,1
D2000126,0,1,0,0,1,0,1,1,0,0
D2000127,0,0,1,1,0,1,0,0,0,1
D2000128,1,0,0,0,1,0,1,1,0,0
D2000129,0,0,1,1,0,0,1,0,0,1
D2000130,0,0,1,1,0,1,0,1,0,0
D2000131,1,0,0,0,1,0,1,0,0,1
D2000132,0,0,1,0,1,0,1,1,0,0
D2000134,0,0,1,0,1,1,0,0,1,0
D2000135,0,0,1,0,1,0,1,0,0,1
D2000137,0,1,0,0,1,0,1,0,1,0
D2000138,0,0,1,0,1,1,0,0,0,1
D2000139,0,0,1,1,0,0,1,0,1,0
D2000140,0,0,1,1,0,1,0,0,1,0
D2000141,0,1,0,0,1,1,0,0,0,1
D2000142,1,0,0,0,1,0,1,0,1,0
D2000143,0,0,1,1,0,0,1,1,0,0
D2000144,1,0,0,0,1,1,0,0,0,1
D2000145,1,0,0,0,1,1,0,1,0,0
