taxonomy.name	D2000120	D2000121	D2000122	D2000123	D2000124	D2000125	D2000126	D2000127	D2000128	D2000129	D2000130	D2000131	D2000132	D2000134	D2000135	D2000137	D2000138	D2000139	D2000140	D2000141	D2000142	D2000143	D2000144	D2000145
                      Halothece	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
                    Allocoleopsis	0	0	0	0	0	0	0	29	0	23	0	0	0	0	0	0	0	17	0	22	0	0	0	0
                    Aquiluna	13	11	0	0	11	21	0	34	11	15	16	25	15	0	46	0	0	35	0	0	0	13	36	11
                    Candidatus Hamiltonella	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
                    Chlorobium	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
                    Chryseobacterium	16606	29902	29864	25413	27706	16056	2587	25375	20664	7224	12285	14314	5019	20210	3756	5746	12346	10518	2343	43870	57123	69654	166473	22786
                    Constantimarinum	0	0	14	0	0	14	0	58	0	20	13	0	0	0	0	0	0	43	15	0	0	21	0	0
                    Crinalium	0	0	0	0	0	0	0	18	0	0	18	0	0	0	16	0	0	0	0	0	0	0	0	0
                    Epilithonimonas	0	27	105	57	315	55	41	425	15	121	76	153	39	54	0	0	52	209	103	12	116	228	938	14
                    Geitlerinema	0	0	0	0	0	19	0	47	0	17	23	30	0	0	21	0	0	30	13	0	0	0	29	0
                    Geminocystis	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
                    Gloeocapsa	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
                    Gloeothece	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
                    Kaistella	10	13	31	44	51	138	0	659	0	185	99	70	0	0	0	0	65	410	97	32	80	323	174	0
